,name,played,run_bat,50s,100s,batted,out,bowled,wkt_tacken,5_wkt_taken,run_given_bowler,econ,over
197,sw tait,13,14,0,0,6,1,13,22,0,547,6.2010546875,109.1
198,nd mckenzie,5,108,1,0,4,4,0,0,0,0,0.0,0.0
199,vb van jaarsveld,2,9,0,0,2,2,0,0,0,0,0.0,0.0
200,da warner,9,210,2,0,9,9,0,0,0,0,0.0,0.0
201,rj harris,15,16,0,0,9,3,15,39,3,621,4.66911865234375,133.10000000000002
202,shoaib akhtar,24,49,0,0,17,8,24,28,0,1078,6.482286193370819,196.0
203,sht kandamby,31,775,5,0,28,23,8,2,0,170,2.4955649185180664,28.0
204,nm hauritz,46,271,1,0,25,11,46,51,0,1791,4.960589814632355,378.2
205,ll tsotsobe,19,14,0,0,7,2,19,38,0,710,5.620035820007324,154.0
206,wd parnell,16,116,0,0,8,6,16,26,2,804,3.583505859375,132.8
207,ie o'brien,7,3,0,0,2,0,7,11,0,345,7.4521875,58.3
208,cj ferguson,28,606,4,0,23,16,0,0,0,0,0.0,0.0
209,l balaji,1,7,0,0,1,1,1,0,0,32,6.4,5.0
210,ra jadeja,44,643,3,0,29,23,43,49,0,1662,4.953582128864167,340.6
211,cd cumming,1,0,0,0,1,1,0,0,0,0,0.0,0.0
212,ig butler,10,78,0,0,7,6,10,13,0,442,6.30955078125,79.0
213,pd mcglashan,3,63,1,0,2,1,0,0,0,0,0.0,0.0
214,ep thompson,1,0,0,0,0,0,1,0,0,42,10.5,4.0
215,aj strauss,45,1625,11,3,45,44,0,0,0,0,0.0,0.0
216,gj batty,3,24,0,0,3,2,2,1,0,72,2.795,13.0
217,lmp simmons,27,974,9,1,27,25,5,1,0,73,0.9106591796875,14.0
218,b laughlin,5,1,0,0,1,0,5,4,0,219,6.390625,37.2
219,re van der merwe,12,39,0,0,7,4,12,14,0,534,4.188603515625001,109.0
220,sm harwood,1,0,0,0,1,1,1,2,0,57,5.7,10.0
221,ahmed shehzad,15,431,0,2,15,15,2,0,0,20,4.00390625,2.3
222,de bollinger,37,50,0,0,7,6,37,62,2,1450,5.146414619668503,316.0
223,yasir arafat,3,26,0,0,2,1,3,0,0,99,5.842499999999999,20.0
224,mj north,2,6,0,0,2,2,1,0,0,16,2.665,3.0
225,tt bresnan,46,559,1,0,36,26,46,53,0,2072,4.823122681642259,391.09999999999997
226,ejg morgan,45,1414,9,3,44,36,0,0,0,0,0.0,0.0
227,kd karthik,22,623,3,0,22,20,0,0,0,0,0.0,0.0
228,de bernard,11,129,0,0,8,7,11,9,0,412,6.153935546875,77.0
229,a nehra,44,54,0,0,20,13,44,63,0,2029,4.920124949524251,339.79999999999995
230,dm bravo,27,702,5,0,25,22,0,0,0,0,0.0,0.0
231,am nayar,2,0,0,0,1,0,1,0,0,17,2.83,3.0
232,kaj roach,27,122,0,0,19,11,27,38,1,1221,6.273767211139202,230.39999999999998
233,nt pascal,1,0,0,0,1,1,1,0,0,29,7.25,4.0
234,dm richards,7,179,2,0,7,7,0,0,0,0,0.0,0.0
235,fl reifer,6,86,0,0,6,6,0,0,0,0,0.0,0.0
236,tm dowlin,10,228,1,1,10,9,0,0,0,0,0.0,0.0
237,dc thomas,7,55,0,0,5,4,1,2,0,11,0.1471875,1.1
238,gc tonge,5,10,0,0,4,2,5,5,0,224,4.1625,50.0
239,tt samaraweera,28,585,0,2,24,17,2,0,0,29,0.00030517578125,3.0
240,mohammad amir,15,167,1,0,12,8,15,25,0,600,5.50489013671875,130.5
241,abdul razzaq,30,599,1,1,28,21,30,21,0,843,4.156368272602558,171.4
242,koa powell,5,52,0,0,5,5,0,0,0,0,0.0,0.0
243,umar akmal,46,1354,10,1,43,37,0,0,0,0,0.0,0.0
244,naved-ul-hasan,12,165,0,0,10,6,12,15,0,591,6.007080078125,102.0
245,imran nazir,5,111,0,0,5,5,0,0,0,0,0.0,0.0
246,hmcm bandara,3,31,0,0,2,2,3,2,0,127,4.925000000000001,26.0
247,ktgd prasad,2,1,0,0,2,1,2,3,0,87,5.55,15.0
248,td paine,22,555,3,1,22,22,0,0,0,0,0.0,0.0
249,au rashid,4,53,0,0,3,2,4,2,0,175,7.625,30.0
250,dr tuffey,13,141,0,0,11,10,13,18,0,573,6.17450439453125,101.5
251,se bond,15,92,0,0,12,4,15,22,0,654,3.8178723144531252,141.29999999999998
252,nl mccullum,23,439,3,0,22,20,22,19,0,727,4.629550087451935,162.5
253,r dravid,8,283,2,0,8,8,0,0,0,0,0.0,0.0
254,jl denly,8,201,1,0,8,8,0,0,0,0,0.0,0.0
255,pm siddle,15,21,0,0,4,2,15,14,0,568,4.884523315429687,122.1
256,g onions,4,1,0,0,1,1,4,4,0,185,5.9037500000000005,34.0
257,cak walton,2,0,0,0,2,2,0,0,0,0,0.0,0.0
258,tl best,1,8,0,0,1,1,1,0,0,50,7.69,6.3
259,jec franklin,20,422,3,0,18,11,17,8,0,480,4.543167724609376,92.3
260,rt crandon,1,5,0,0,1,1,0,0,0,0,0.0,0.0
261,a mishra,9,5,0,0,2,1,9,15,0,360,4.501796875,85.1
262,sm davies,8,244,1,0,8,8,0,0,0,0,0.0,0.0
263,aj redmond,6,152,1,0,6,6,0,0,0,0,0.0,0.0
264,ac voges,12,296,1,0,11,7,6,1,0,108,0.10518554687500001,19.0
265,mc henriques,2,18,0,0,2,2,2,1,0,84,5.54,15.0
266,ga manou,4,7,0,0,1,1,0,0,0,0,0.0,0.0
267,khalid latif,4,128,1,0,4,4,0,0,0,0,0.0,0.0
268,cj mckay,14,8,0,0,3,2,14,30,1,593,4.54849609375,123.2
269,r mclaren,8,31,0,0,7,6,8,5,0,305,5.914140625,57.0
270,si mahmood,1,0,0,0,0,0,1,1,0,41,5.85,7.0
271,ijl trott,33,1522,12,3,32,29,9,2,0,152,0.00011282148770987987,28.3
272,uwmbca welegedara,9,4,0,0,3,1,9,15,1,433,5.3565625,75.7
273,ras lakmal,11,1,0,0,5,1,11,13,0,522,5.48271484375,80.5
274,s randiv,24,230,1,0,14,14,23,30,1,911,5.159840476512908,188.9
275,nltc perera,19,210,0,0,15,12,19,32,2,738,4.3208410263061525,149.0
276,m pushpakumara,2,0,0,0,0,0,1,0,0,21,2.1,5.0
277,shafiul islam,30,86,0,0,18,12,30,32,0,1368,4.930488129146397,203.1
278,hdrl thirimanne,2,22,0,0,1,1,0,0,0,0,0.0,0.0
279,s tyagi,3,1,0,0,1,0,3,2,0,129,6.327500000000001,21.0
280,pj ingram,7,193,1,0,7,7,0,0,0,0,0.0,0.0
281,aj mckay,14,10,0,0,8,3,14,20,0,549,5.79200439453125,107.8
282,dr smith,4,130,1,0,4,3,4,4,0,184,6.80875,28.0
283,n deonarine,7,185,2,0,7,6,5,0,0,78,4.05390625,13.3
284,ww hinds,2,25,0,0,2,2,0,0,0,0,0.0,0.0
285,spd smith,25,315,0,0,17,14,21,22,0,660,3.283127390742302,125.5
286,le bosman,2,97,1,0,2,2,0,0,0,0,0.0,0.0
287,a mithun,5,51,0,0,3,3,5,3,0,203,6.303125,30.0
288,m vijay,9,164,0,0,9,9,0,0,0,0,0.0,0.0
