,winner,toss,ground,strength,bat_strengthA,ball_strengthA,bat_strengthB,ball_strengthB
142,1,1,1,-1.74092,4.24024,1.78829,5.43257,3.26944
143,1,1,2,-1.20378,4.25025,2.54368,5.13477,5.21592
144,1,0,2,0.17447,3.66274,3.9852,4.58859,2.7625
145,0,0,0,-0.55192,5.27803,2.38452,6.38606,2.48236
146,1,1,2,-0.65156,3.26923,2.84452,5.08075,2.88143
147,1,1,2,0.01542,3.54048,4.04471,4.68863,3.01415
148,1,1,2,-2.01837,3.6703,1.64763,5.23239,3.1713
149,0,1,1,2.38102,5.18055,2.66572,4.63352,1.25766
150,1,0,1,1.50384,4.92035,3.30318,5.05204,1.62211
151,0,1,0,-1.12647,2.07071,2.46687,4.21387,3.55964
152,0,0,1,-0.5191,4.43319,3.08765,5.03298,3.99052
153,1,1,0,-1.17214,3.56755,2.24635,4.67984,3.91535
154,0,0,0,-0.61958,2.50358,3.14069,4.24282,3.42326
155,1,0,0,-1.30002,4.54465,2.28918,5.06218,4.98684
156,0,0,0,-2.80607,3.41102,1.19291,4.25571,4.47981
157,1,0,1,-0.10157,3.07543,3.81616,4.71264,2.71358
158,1,0,1,0.38363,3.63577,3.63054,4.74399,2.15094
159,1,1,2,0.59323,2.87634,3.09596,4.1509,1.48727
160,0,0,2,0.21382,3.0354,3.09031,4.21358,1.92443
161,1,0,2,0.42415,4.00105,3.45898,4.88261,2.17954
162,0,1,2,-2.48809,3.23387,1.49744,5.17555,3.3402
163,0,0,1,-1.50135,5.56209,2.17159,6.85553,3.35962
164,0,1,2,-1.21775,2.86668,2.22671,4.85967,2.97159
165,1,0,1,0.44014,5.65772,2.39954,5.83659,1.9696
166,1,1,1,2.43278,6.37579,2.96382,4.96166,1.55247
167,1,0,0,-1.21884,3.19724,2.8052,6.82015,2.63709
168,0,1,0,-4.40842,2.90418,1.01386,5.40248,3.15605
169,0,1,0,-7.10117,3.98285,0.70756,5.97224,2.97343
170,1,0,1,-1.30947,3.87374,2.10332,4.99355,3.63849
171,0,1,0,-0.75643,4.3852,2.841,5.95044,3.2773
172,1,0,1,-0.36643,3.60638,3.45064,4.80027,3.51946
173,1,0,0,-1.19543,4.72397,2.2615,5.72415,3.53669
174,1,1,1,-1.00492,4.56328,2.28494,4.67653,4.38035
175,0,1,0,-0.73471,3.17981,3.55156,5.31643,4.17181
176,1,0,1,-0.12752,3.23447,2.59576,4.23206,2.15222
177,1,0,0,-0.20482,4.58875,2.94574,5.02876,3.05446
178,1,1,0,1.34725,4.19559,3.17627,5.23082,1.40129
179,0,0,1,-1.47928,5.05998,1.87128,6.12483,2.82085
180,1,1,2,-0.95796,3.11192,2.57056,5.18458,2.93869
181,0,0,1,-0.85378,2.68018,2.78405,5.26951,2.57966
182,0,0,2,-2.221,2.88226,1.54779,4.72861,3.4557
183,1,0,2,-0.41792,4.3279,2.92357,4.59985,3.74565
184,0,0,2,-1.81784,2.93925,1.96813,5.79863,2.60472
185,0,0,2,-1.34075,3.15197,1.95987,4.06646,4.29358
186,1,0,2,0.13027,4.42502,3.05974,6.2401,2.03947
187,0,1,1,-2.63416,2.44105,1.17565,3.99607,3.19145
188,0,1,2,0.29009,2.44326,3.28182,4.32764,1.51872
189,1,0,2,-1.98244,3.04824,1.79442,5.05282,3.6575
190,1,0,0,1.30602,4.76095,2.49474,5.45695,1.36284
191,0,0,0,-0.65174,4.78838,2.69183,5.52406,3.41924
192,1,0,2,-0.25168,4.98869,3.07317,5.17965,3.47943
193,0,1,1,-2.50435,3.4133,1.47481,4.90243,4.16384
194,0,1,1,1.5109,4.8031,3.25279,3.35048,1.89029
195,1,0,0,-3.432,2.61425,1.26497,5.53739,2.76498
196,1,1,0,-0.13915,4.05921,3.56004,4.71707,3.42302
197,1,1,1,-0.86174,3.49555,3.05112,4.81796,4.87296
198,1,1,0,-0.15908,3.64705,4.33691,5.84619,3.06751
199,0,0,2,-3.03347,3.44973,1.5393,5.82975,4.57647
200,1,0,2,0.98589,4.82613,4.15528,5.36297,2.11995
201,0,0,1,-0.4632,2.97448,2.88698,5.6961,1.97007
202,1,1,2,1.02271,4.8831,4.5532,5.42081,2.2063
203,1,1,1,-0.20595,3.34058,3.6663,4.88698,2.96415
204,0,0,2,-1.45034,2.44713,2.30302,4.60887,4.44212
205,1,0,2,0.35003,4.54655,3.55566,4.2946,2.91848
206,0,1,0,-1.52833,3.5493,2.21849,5.24192,4.2532
207,0,0,1,-0.98071,2.69194,2.09685,4.20955,2.62154
208,1,0,2,-2.14355,2.29431,1.57555,4.24906,4.14644
209,0,0,1,-1.6037,3.72081,1.70648,4.89066,2.9478
210,1,0,1,-0.85945,3.19545,2.13314,4.94978,2.18721
211,0,0,2,-2.51203,3.0645,1.63393,5.28851,4.22889
212,1,1,2,-1.23331,3.80959,1.3953,4.99662,1.62268
213,1,0,0,0.03382,2.9547,3.83316,5.04326,2.18946
214,0,1,2,-3.60099,3.20182,1.2281,5.3808,4.10265
215,1,1,2,-0.62242,3.09057,3.71019,4.24531,5.92285
